nan,kierunek,date,dzień tygodnia,start_time,liczba godzin lekcyjnych,class,title,instructor,subject,method,room,uwagi
,PIEL I WEEK,2025-10-25,sobota,8.00-11.45,5,16 a,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-25,sobota,12.00-15.45,5,14 a,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-25,sobota,16.00-19.45,5,15 a,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-25,sobota,8.00-11.45,5,16 b,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-25,sobota,12.00-15.45,5,14 b,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-25,sobota,16.00-19.45,5,15 b,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-25,sobota,8.00-11.45,5,16 c,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-25,sobota,12.00-15.45,5,14 c,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-25,sobota,16.00-19.45,5,15 c,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-25,sobota,8.00-11.45,5,5,dr,BAŁUKA Bogusław,Biofizyka,ćwiczenia,"sala 103 d
Świerzawska 18",
,PIEL I WEEK,2025-10-25,sobota,16.00-19.45,5,5,dr,ADAMEK Renata,Dietetyka,ćwiczenia,"sala 103 f
Świerzawska 18",
,PIEL I WEEK,2025-10-25,sobota,8.00-11.45,5,6,dr,ADAMEK Renata,Dietetyka,ćwiczenia,"sala 103 f
Świerzawska 18",
,PIEL I WEEK,2025-10-25,sobota,12.00-15.45,5,6,dr,BAŁUKA Bogusław,Biofizyka,ćwiczenia,"sala 103 d
Świerzawska 18",
,PIEL I WEEK,2025-10-25,sobota,12.00-15.45,5,7,dr,ADAMEK Renata,Dietetyka,ćwiczenia,"sala 103 f
Świerzawska 18",
,PIEL I WEEK,2025-10-25,sobota,16.00-19.45,5,7,dr,BAŁUKA Bogusław,Biofizyka,ćwiczenia,"sala 103 d
Świerzawska 18",
,PIEL I WEEK,2025-10-26,niedziela,8.00-11.45,5,5 a,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,12.00-15.45,5,6 a,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,16.00-19.45,5,7 a,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,8.00-11.45,5,5 b,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,12.00-15.45,5,6 b,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,16.00-19.45,5,7 b,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,8.00-11.45,5,5 c,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,12.00-15.45,5,6 c,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,16.00-19.45,5,7 c,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,8.00-11.45,5,8 a,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,12.00-15.45,5,9 a,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
,PIEL I WEEK,2025-10-26,niedziela,16.00-19.45,5,10 a,,,Podstawy pielęgniarstwa,ćwiczenia,,"Zajęcia odwołane. 
Zostaną zaplanowane w późniejszym terminie"
